title,author,pub_date,genres
Fahrenheit 451,Ray Bradbury,1953,"Science Fiction, Children's literature, Speculative fiction, Utopian and dystopian fiction"
Farmer Giles of Ham,J. R. R. Tolkien,,"Fantasy, Fiction"
Gaudy Night,Dorothy L. Sayers,1935,"Mystery, Detective fiction, Novel, Fiction"
Gylfaginning,Snorri Sturluson,,
God Emperor of Dune,Frank Herbert,1981-05-28,"Science Fiction, Speculative fiction, Children's literature, Fiction"
Genesis,,,Religious text
Gone with the Wind,Margaret Mitchell,1936-06-30,"Historical fiction, Fiction, Novel"
Heart of Darkness,Joseph Conrad,1899,"Fiction, Novella, Roman à clef"
Hamlet,William Shakespeare,,
Heretics of Dune,Frank Herbert,1984,"Science Fiction, Speculative fiction, Fiction"
Adventures of Huckleberry Finn,Mark Twain,1884,"Satire, Children's literature, Fiction, Adventure novel"
Ivanhoe,Walter Scott,1819,"Historical fiction, Fiction, Historical novel"
Johnny Got His Gun,Dalton Trumbo,1939,"Fiction, Novel"
Icehenge,Kim Stanley Robinson,1984,"Science Fiction, Speculative fiction"
Leviticus,,,
Leaf by Niggle,J. R. R. Tolkien,,
Macbeth,William Shakespeare,,
Microserfs,Douglas Coupland,1995-06,"Epistolary novel, Fiction"
"Moby-Dick; or, The Whale",Herman Melville,1851-10-18,"Sea story, Fiction, Adventure novel"
Moonfleet,J. Meade Falkner,1898,Adventure novel
Neuromancer,William Gibson,1984-07-01,"Cyberpunk, Science Fiction, Speculative fiction, Dystopia"
Cryptonomicon,Neal Stephenson,1999,"Fiction, Novel"
No Logo,Naomi Klein,2000-01,"Business, Non-fiction, Economics, Anthropology"
Odyssey,Nextext,,
Othello,William Shakespeare,,
On War,Carl von Clausewitz,1832,
The Three Stigmata of Palmer Eldritch,Philip K. Dick,1965,"Science Fiction, Speculative fiction, Fiction, Dystopia"
Time out of Joint,Philip K. Dick,1959,"Science Fiction, Speculative fiction, Fiction, Dystopia"
A Scanner Darkly,Philip K. Dick,1977,"Science Fiction, Psychological novel, Speculative fiction, Roman à clef"
Radio Free Albemuth,Philip K. Dick,1985,"Science Fiction, Speculative fiction, Dystopia"
Pride and Prejudice,Jane Austen,1813-01-28,"Satire, Fiction, Romance novel, Novel"
Pale Fire,Vladimir Vladimirovich Nabokov,,Fiction
Pacific Overtures,Stephen Sondheim,,
Romeo and Juliet,William Shakespeare,,
Rosencrantz & Guildenstern Are Dead,Tom Stoppard,1967,Absurdist fiction
Ringworld,Larry Niven,1970,"Science Fiction, Speculative fiction, Fiction, Novel"
Rent,Jonathan Larson,,
Rendezvous with Rama,Arthur C. Clarke,1972,"Hard science fiction, Science Fiction, Speculative fiction"
Sense and Sensibility,Jane Austen,1811,"Children's literature, Fiction, Romance novel, Novel"
Speaker for the Dead,Orson Scott Card,1986,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Starship Troopers,Robert A. Heinlein,1959-12,"Science Fiction, Speculative fiction, Fiction"
Sir Gawain and the Green Knight,Pearl Poet,2007,Poetry
Stuart Little,E. B. White,1945,"Speculative fiction, Children's literature, Fiction"
The Lord of the Rings,J. R. R. Tolkien,,"Adventure novel, Speculative fiction, Fantasy, Fiction"
The Doors of Perception,Aldous Huxley,1954,"Philosophy, Non-fiction"
The Time Machine,H. G. Wells,1895,"Science Fiction, Children's literature, Speculative fiction, Romance novel"
The Shockwave Rider,John Brunner,1975,"Science Fiction, Speculative fiction, Novel"
The Shining,Stephen King,1977-01,"Gothic fiction, Children's literature, Horror, Speculative fiction"
Mort,Terry Pratchett,,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Hound of the Baskervilles,Arthur Conan Doyle,1901,"Crime Fiction, Mystery, Detective fiction, Novel"
The Hobbit,J. R. R. Tolkien,1937,"Children's literature, Juvenile fantasy, Adventure novel, Speculative fiction"
The Great Divorce,C. S. Lewis,1945,"Speculative fiction, Fantasy, Religion"
The Screwtape Letters,C. S. Lewis,1942,"Epistolary novel, Inspirational, Speculative fiction, Satire"
The Pit and the Pendulum,Nancy Kilpatrick,1842,"Horror, Speculative fiction, Short story"
The Hunt for Red October,Tom Clancy,1984,"Novel, Techno-thriller, Children's literature, Fiction"
The Cardinal of the Kremlin,Tom Clancy,1988,"Thriller, Fiction, Novel"
Debt of Honor,Tom Clancy,,"Thriller, Fiction, Novel"
Tunnel in the Sky,Robert A. Heinlein,1955,"Science Fiction, Speculative fiction, Children's literature, Fiction"
The Mismeasure of Man,Stephen Jay Gould,1981,"Non-fiction, Science"
The Picture of Dorian Gray,Oscar Wilde,1890,"Gothic fiction, Speculative fiction, Horror, Fiction"
The Book of the City of Ladies,,,
The Sentinel,Arthur C. Clarke,1951,Speculative fiction
The Fountains of Paradise,Arthur C. Clarke,1979,"Science Fiction, Speculative fiction"
Lord of the Flies,William Golding,1954,"Speculative fiction, Young adult literature, Fiction, Novel"
Through the Looking-Glass,Lewis Carroll,1871,Children's literature
Waiting for Godot,Samuel Beckett,1952,"Poetry, Drama, Fiction, Absurdist fiction"
The Wanderer,Fritz Leiber,1964,"Science Fiction, Speculative fiction, Fantasy, Fiction"
2010: Odyssey Two,Arthur C. Clarke,1982-01,"Science Fiction, Speculative fiction"
Brave New World,Aldous Huxley,,"Science Fiction, Children's literature, Speculative fiction, Utopian and dystopian fiction"
Aeneid,Virgil,1943,"Fantasy, Fiction, Poetry"
Paradise Lost,John Milton,1667,Poetry
The Merchant of Venice,William Shakespeare,,
The Invisible Man,H. G. Wells,1897,"Albino bias, Science Fiction, Children's literature, Horror"
Twenty Thousand Leagues Under the Sea,Emanuel J Mickel,1869,"Science Fiction, Children's literature, Novel, Adventure novel"
Keep the Aspidistra Flying,George Orwell,1936,Novel
Manon Lescaut,Antoine François Prévost,,
"Lions' Commentary on UNIX 6th Edition, with Source Code",John Lions,1996,Computer Science
The Myth of Sisyphus,Albert Camus,1942,Existentialism
Cymbeline,William Shakespeare,,
Vanity Fair,William Makepeace Thackeray,,
Northanger Abbey,Jane Austen,1817-12,"Gothic fiction, Satire, Reference, Fiction"
Amadeus,Peter Shaffer,,
The Rime of the Ancient Mariner,Samuel Taylor Coleridge,,Poetry
The Eye of the World,Robert Jordan,1990-01-15,"Speculative fiction, Fantasy, High fantasy"
The Great Hunt,Robert Jordan,1990-11-15,"Speculative fiction, Fantasy"
A Crown of Swords,Robert Jordan,1996-05-15,"Speculative fiction, Fantasy"
Winter's Heart,Robert Jordan,2000-11-07,"Speculative fiction, Fantasy"
Around the World in Eighty Days,Jules Verne,,"Children's literature, Fiction, Adventure novel"
The Grapes of Wrath,John Steinbeck,1939,Novel
How Green Was My Valley,Richard Llewellyn,1939,"Historical fiction, Drama, Fiction, Novel"
Lady Audley's Secret,Mary Elizabeth Braddon,,
A Streetcar Named Desire,Tennessee Williams,,
The Queen of the Damned,Anne Rice,1988-10,"Horror, Supernatural, Speculative fiction, Fantasy"
Gulliver's Travels,Jonathan Swift,1726,"Science Fiction, Satire, Fantasy, Speculative fiction"
The Color Purple,Alice Walker,1982,"Epistolary novel, Fiction"
A Midsummer Night's Dream,William Shakespeare,1600,"Fantasy, Comedy"
The English Patient,Michael Ondaatje,1992-09,"Fiction, Novel"
Captains Courageous,Rudyard Kipling,1897,
Ramayana,Valmiki,,
The Forge of God,Greg Bear,1987,"Science Fiction, Speculative fiction, Fiction, Novel"
Blood Music,Greg Bear,1985,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The World According to Garp,John Irving,1978,Literary fiction
Mutiny on the Bounty,James Norman Hall,1932,"History, Novel"
The Mothman Prophecies,John A. Keel,1975,
The Memory of Earth,Orson Scott Card,,"Science Fiction, Speculative fiction, Fiction"
Sixth Column,Robert A. Heinlein,1949,"Science Fiction, Fantasy, Fiction"
The Puppet Masters,Robert A. Heinlein,,"Science Fiction, Speculative fiction, Fiction"
Henry V,William Shakespeare,,
The Wind in the Willows,Kenneth Grahame,1908,"Children's literature, Fiction, Novel"
The Hunting of the Snark,Lewis Carroll,1876,Speculative fiction
Jonathan Livingston Seagull,Richard Bach,1970,"Self-help, Spirituality, Speculative fiction, Fiction"
I Am Legend,Richard Matheson,1954,"Vampire fiction, Science Fiction, Horror, Speculative fiction"
The Stranger,Albert Camus,,"Crime Fiction, Existentialism, Fiction, Absurdist fiction"
The Man in the High Castle,Philip K. Dick,1962-01-01,"Alternate history, Science Fiction, Speculative fiction, Fantasy"
Rocket Ship Galileo,Robert A. Heinlein,1947-05-01,"Science Fiction, Speculative fiction, Children's literature, Fiction"
Space Cadet,Robert A. Heinlein,1948,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Between Planets,Robert A. Heinlein,,"Science Fiction, Speculative fiction, Children's literature, Fiction"
Starman Jones,Robert A. Heinlein,1953,"Science Fiction, Speculative fiction, Fiction, Novel"
Podkayne of Mars,Robert A. Heinlein,,"Science Fiction, Speculative fiction, Fiction"
Story of O,Pauline Réage,1954,Erotica
The Star Beast,Robert A. Heinlein,1954,"Science Fiction, Speculative fiction, Fiction"
Dr. No,Ian Fleming,1958-03-31,Spy fiction
The Andromeda Strain,Michael Crichton,1969-05-12,"Science Fiction, Speculative fiction, Techno-thriller, Mystery"
Harry Potter and the Philosopher's Stone,J. K. Rowling,1997-06-30,"Children's literature, Fantasy, Speculative fiction, Fiction"
Down and Out in Paris and London,George Orwell,1933-01-09,"Autobiographical novel, Autobiography, Fiction, Memoir"
The Last Man,Mary Shelley,1826-02,"Catastrophic literature, Apocalyptic and post-apocalyptic fiction, Science Fiction, Speculative fiction"
The Transmigration of Timothy Archer,Philip K. Dick,1982,"Speculative fiction, Novel"
Dirk Gently's Holistic Detective Agency,Douglas Adams,1987,"Science Fiction, Speculative fiction, Fantasy, Comedy"
Dragonflight,Anne McCaffrey,1968-07,"Science Fiction, Children's literature, Fantasy, Fiction"
The Diamond Age,Neal Stephenson,1995,"Cyberpunk, Science Fiction, Speculative fiction, Fiction"
The Hunchback of Notre Dame,Victor Hugo,1831-01-14,"Children's literature, Fiction"
Alice's Adventures in Wonderland,Lewis Carroll,1865-11-26,"Children's literature, Fantasy, Speculative fiction, Absurdist fiction"
Now Wait for Last Year,Philip K. Dick,1966,"Science Fiction, Speculative fiction, Fantasy"
The Magician's Nephew,C. S. Lewis,1955,"Speculative fiction, Fantasy, Children's literature"
The Patchwork Girl of Oz,L. Frank Baum,1913,"Speculative fiction, Fantasy, Children's literature"
To Sail Beyond the Sunset,Robert A. Heinlein,1987,"Science Fiction, Speculative fiction"
Double Star,Robert A. Heinlein,1956,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Time for the Stars,Robert A. Heinlein,1956,"Science Fiction, Speculative fiction, Children's literature, Fiction"
Citizen of the Galaxy,Robert A. Heinlein,1957,"Science Fiction, Speculative fiction, Fiction"
Stranger in a Strange Land,Robert A. Heinlein,1961-06-01,"Science Fiction, Fiction"
Glory Road,Robert A. Heinlein,1963,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Moon Is a Harsh Mistress,Robert A. Heinlein,1966,"Science Fiction, Fantasy, Fiction"
I Will Fear No Evil,Robert A. Heinlein,1970,"Science Fiction, Speculative fiction, Fiction"
The Cat Who Walks Through Walls,Robert A. Heinlein,1985,"Science Fiction, Speculative fiction"
Methuselah's Children,Robert A. Heinlein,1958,"Science Fiction, Speculative fiction"
Life: A User's Manual,Georges Perec,1978,
The Wonderful Wizard of Oz,L. Frank Baum,1900,"Speculative fiction, Fantasy, Children's literature"
King Ottokar's Sceptre,Hergé,1939,
Wuthering Heights,Emily Brontë,1847-12,"Gothic fiction, Fiction, Novel"
Jane Eyre,Charlotte Brontë,1847-10-16,"Novel, Social criticism, Romance novel, Fiction"
Catch-22,Joseph Heller,1961-11-11,"Anti-war, War novel, Absurdist fiction, Historical fiction"
Robinson Crusoe,Daniel Defoe,1719-04-25,"Speculative fiction, Children's literature, Fiction, Adventure novel"
King Lear,William Shakespeare,,
Clear and Present Danger,Tom Clancy,,"Thriller, Mystery, Children's literature, Fiction"
Castle Rackrent,Maria Edgeworth,,"Fiction, Historical novel"
Julius Caesar,William Shakespeare,,
Emma,Jane Austen,1815-12,"Children's literature, Reference, Novel, Comedy of manners"
Charlie and the Chocolate Factory,Roald Dahl,1964,"Children's literature, Fantasy, Speculative fiction, Fiction"
Anne of Green Gables,Lucy Maud Montgomery,1908-06,"Children's literature, Novel"
The Wasp Factory,Iain Banks,1984,"Fiction, Novel"
Espedair Street,Iain Banks,1987,"Fiction, Novel"
The Crow Road,Iain Banks,1992,"Mystery, Novel, Fiction, Suspense"
Consider Phlebas,Iain Banks,1987,"Science Fiction, Speculative fiction"
Inversions,Iain Banks,1998,"Science Fiction, Speculative fiction"
An Inspector Calls,John Boynton Priestley,,
Ender's Game,Orson Scott Card,1985,"Science Fiction, Speculative fiction, Fiction"
Titus Andronicus,William Shakespeare,,
Measure for Measure,William Shakespeare,1861,Fiction
"Flow My Tears, The Policeman Said",Philip K. Dick,1974,"Science Fiction, Speculative fiction, Fiction, Dystopia"
Job: A Comedy of Justice,Robert A. Heinlein,1984,"Science Fiction, Speculative fiction, Novel"
Farmer in the Sky,Robert A. Heinlein,1950,"Science Fiction, Speculative fiction, Fiction, Novel"
Friday,Robert A. Heinlein,1982-04,"Science Fiction, Speculative fiction, Fiction, Novel"
Have Space Suit-Will Travel,Robert A. Heinlein,1958,"Science Fiction, Speculative fiction"
Requiem,Robert A. Heinlein,,
Red Planet,Robert A. Heinlein,1949,"Science Fiction, Fantasy, Fiction, Novel"
The Number of the Beast,Robert A. Heinlein,1980-07-12,Science Fiction
Foundation's Edge,Isaac Asimov,1982-06,"Science Fiction, Speculative fiction, Novel"
The Caves of Steel,Isaac Asimov,1954-06,"Science Fiction, Children's literature, Speculative fiction, Mystery"
Prelude to Foundation,Isaac Asimov,1988-11,"Science Fiction, Speculative fiction, Children's literature, Fiction"
Foundation and Earth,Isaac Asimov,1986,"Science Fiction, Speculative fiction, Fiction, Novel"
Time Enough for Love,Robert A. Heinlein,1973-06,"Science Fiction, Speculative fiction, Fiction"
The Rolling Stones,Robert A. Heinlein,1952,"Science Fiction, Speculative fiction, Children's literature, Fiction"
The Door into Summer,Robert A. Heinlein,1957,"Science Fiction, Speculative fiction, Fiction"
Farnham's Freehold,Robert A. Heinlein,1964,Science Fiction
The Maltese Falcon,Dashiell Hammett,1930,"Crime Fiction, Detective fiction, Mystery, Fiction"
The Treasure of the Sierra Madre,B. Traven,,"Western, Fiction, Adventure novel"
Funeral in Berlin,Len Deighton,1964,"Spy fiction, Fiction"
Billion-Dollar Brain,Len Deighton,1966,"Science Fiction, Spy fiction, Fiction"
Kim,Rudyard Kipling,1901,"Spy fiction, Novel, Picaresque novel"
Whit,Iain Banks,1995,"Science Fiction, Fantasy, Fiction, Novel"
Mostly Harmless,Douglas Adams,,"Science Fiction, Speculative fiction, Fiction, Comic science fiction"
The Lion in Winter,James Goldman,,
Native Son,Richard Wright,1940,"Fiction, Novel"
East Lynne,,,
A Farewell to Arms,Ernest Hemingway,1929,"Fiction, Novel"
Imitation of Life,Fannie Hurst,1933,Novel
The Last Command,Timothy Zahn,,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
The Way of All Flesh,Samuel Butler,1903,Autobiographical novel
Alice Adams,Booth Tarkington,1921-06,"Fantasy, Fiction, Romance novel, Novel"
Les Misérables,Victor Hugo,1862,"Fiction, Novel"
Dodsworth,Sinclair Lewis,1929,Novel
Lost Horizon,James Hilton,1933,"Children's literature, Adventure novel, Speculative fiction, Fantasy"
The Red Badge of Courage,Stephen Crane,1895,Fiction
"Goodbye, Mr. Chips",James Hilton,,Psychological novel
Of Mice and Men,John Steinbeck,1937,Novella
All's Well That Ends Well,William Shakespeare,1623,
The Taming of the Shrew,William Shakespeare,1623,
Our Town,Thornton Wilder,,
Ishmael,Daniel Quinn,1992,"Speculative fiction, Fantasy, Fiction, Novel"
David Copperfield,Charles Dickens,1850,"Künstlerroman, Fiction, Novel"
Childhood's End,Arthur C. Clarke,1953,"Science Fiction, Speculative fiction, Catastrophic literature, Transhumanism"
The Little Prince,Antoine de Saint-Exupéry,1943,
Brigadoon,Alan Jay Lerner,,
The Two Towers,J. R. R. Tolkien,1954-11-11,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
The Return of the King,J. R. R. Tolkien,1955-10-20,"Science Fiction, Biography, Speculative fiction, Fantasy"
Akallabêth,,,
The Drawing of the Three,Stephen King,1987-05,"Science Fiction, Children's literature, Horror, Western fiction"
The Gunslinger,Stephen King,1982-06-10,"Science Fiction, Children's literature, Horror, Western fiction"
On Writing: A Memoir of the Craft,Stephen King,2000-10-03,Autobiography
The Body,Stephen King,1982,Novella
Wizard and Glass,Stephen King,1997-11-04,"Science Fiction, Children's literature, Horror, Speculative fiction"
The Waste Lands,Stephen King,1991-08,"Fantasy, Science Fiction, Speculative fiction, Horror"
The Eyes of the Dragon,Stephen King,1987-02-02,"Children's literature, Fantasy, Speculative fiction, Fiction"
Riding the Bullet,Stephen King,,
Dolores Claiborne,Stephen King,,"Thriller, Children's literature, Horror, Speculative fiction"
Gerald's Game,Stephen King,,"Thriller, Speculative fiction, Horror"
The Girl Who Loved Tom Gordon: A Novel,Stephen King,1999-04-06,Fiction
The Green Mile,Stephen King,1996-03,"Fantasy, Speculative fiction, Horror"
The Long Walk,Stephen King,,"Science Fiction, Speculative fiction, Horror, Dystopia"
Solaris,Stanisław Lem,1961,"Science Fiction, Speculative fiction, Novel, Psychological novel"
You Can't Take It with You,Moss Hart,,
Antony and Cleopatra,William Shakespeare,1623,
The Day of the Triffids,John Wyndham,1951-12,Fiction
Antigone,Sophocles,,
Love and Mr Lewisham,H. G. Wells,1900,"Science Fiction, Speculative fiction, Fiction, Novel"
The Stardroppers,John Brunner,1972,Science Fiction
The Little Foxes,Lillian Hellman,,
Carrie,Stephen King,1974-04-05,"Science Fiction, Horror, Speculative fiction, Mystery"
King John,William Shakespeare,1623,
Love's Labour's Lost,William Shakespeare,,
Watership Down,Richard Adams,1972-11,"Speculative fiction, Fantasy, Fiction"
Harriet the Spy,Louise Fitzhugh,1964,"Spy fiction, Children's literature, Fiction"
Richard II,William Shakespeare,,
The Big Sleep,Raymond Chandler,1939,"Crime Fiction, Detective fiction, Novel, Hardboiled"
The State of the Art,Iain Banks,1991,"Science Fiction, Speculative fiction"
The Player of Games,Iain Banks,1988,"Science Fiction, Speculative fiction"
Excession,Iain Banks,1996,"Science Fiction, Speculative fiction"
Look to Windward,Iain Banks,2000,"Science Fiction, Speculative fiction"
Use of Weapons,Iain Banks,1990-02-01,"Science Fiction, Speculative fiction"
"So Long, and Thanks for All the Fish",Douglas Adams,1984,"Science Fiction, Speculative fiction, Fiction, Comic novel"
Choke,Chuck Palahniuk,2001-05-22,"Black comedy, Novel, Satire, Speculative fiction"
A Friend of the Earth,T. Coraghessan Boyle,2000-09,"Speculative fiction, Dystopia"
In Search of Lost Time,Marcel Proust,1913,"Autobiographical novel, Fiction"
Liza of Lambeth,W. Somerset Maugham,,"Speculative fiction, Fiction"
The Weirdstone of Brisingamen,Alan Garner,1960,"Speculative fiction, Fantasy, Children's literature"
The Human Stain,Philip Roth,2000-05,"Fiction, Novel"
Picnic at Hanging Rock,Joan Lindsay,1967,"Mystery, Historical novel"
"I, the Jury",Mickey Spillane,1947,"Crime Fiction, Mystery, Fiction, Suspense"
Thinks ...,David Lodge,2001,"Fiction, Romance novel"
The Adventures of Pinocchio,Carlo Collodi,1883,"Children's literature, Fantasy, Speculative fiction, Humour"
Smith of Wootton Major,J. R. R. Tolkien,,"Fantasy, Fiction, Novella"
The Tie That Binds,Kent Haruf,,
"England, England",Julian Barnes,1998,"Speculative fiction, Fiction"
Dune,Frank Herbert,1965,"Conspiracy fiction, Science Fiction, Philosophy, Adventure novel"
Feersum Endjinn,Iain Banks,1994,"Science Fiction, Speculative fiction"
Against a Dark Background,Iain Banks,1993,"Science Fiction, Speculative fiction, Fiction"
Just Like That,Lily Brett,1994,Autobiographical novel
Memoirs of a Fox-Hunting Man,Siegfried Sassoon,1928,"Roman à clef, Poetry, Fiction"
Uncle Tom's Cabin,Harriet Beecher Stowe,1852-03-20,Novel
The Beach,Alex Garland,1996,Fiction
Murder Must Advertise,Dorothy L. Sayers,1933,"Mystery, Fiction, Suspense"
The Man Who Would Be King,Rudyard Kipling,,"Lost World, Adventure novel"
A Vicious Circle,Amanda Craig,1996,
To Kill a Mockingbird,Harper Lee,1960-07-11,Fiction
The Emperor Jones,Eugene O'Neill,1920,
The Go-Between,L. P. Hartley,,
Mildred Pierce,James M. Cain,1941,"Mystery, Hardboiled, Novel, Suspense"
A Christmas Carol,Charles Dickens,1843-12-19,"Ghost story, Morality play, Novella, Speculative fiction"
About a Boy,Nick Hornby,1998,"Fiction, Novel"
The Hustler,Walter Tevis,,
Letter from an Unknown Woman,Stefan Zweig,,
Miss Lulu Bett,Zona Gale,1920,"Fiction, Novel"
Flatland: A Romance of Many Dimensions,Edwin Abbott Abbott,1884,"Science Fiction, Novella, Speculative fiction, Science"
Sick Puppy,Carl Hiaasen,2000,Novel
The Prisoner of Zenda,Anthony Hope,1894,"History, Children's literature, Fiction, Romance novel"
The Great Gatsby,F. Scott Fitzgerald,1925-04-10,"Fiction, Novel"
For Whom the Bell Tolls,Ernest Hemingway,1940,"War novel, Fiction"
What Ever Happened to Baby Jane?,,,
From Russia with Love,Ian Fleming,1957-04-08,Spy fiction
The Tombs of Atuan,Ursula K. Le Guin,1971,"Science Fiction, Children's literature, Speculative fiction, Fantasy"
Good Omens,Neil Gaiman,1990-05-01,"Science Fiction, Speculative fiction, Fantasy, Comedy"
Coraline,Neil Gaiman,2002,"Fantasy, Speculative fiction, Horror, Children's literature"
The Sandman: Dream Country,Neil Gaiman,,"Fantasy, Fiction, Graphic novel"
The Sandman: Season of Mists,,,
Interview with the Vampire,Anne Rice,1976-04-12,"Vampire fiction, Horror, Speculative fiction, Fantasy"
Seven Against Thebes,Aeschylus,,
Tartarin de Tarascon,Alphonse Daudet,,"Children's literature, Fiction, Novel"
The Sandman: The Kindly Ones,,,
SS-GB,Len Deighton,1978-08-24,"Alternate history, Speculative fiction"
Finnegans Wake,James Joyce,1939-05-04,Novel
The Virgin Suicides,Jeffrey Eugenides,1993,"Fiction, Novel"
What Makes Sammy Run?,Budd Schulberg,1941,"Satire, Fiction, Novel"
The Razor's Edge,W. Somerset Maugham,1944,Novel
Born Yesterday,Garson Kanin,,
King Solomon's Mines,H. Rider Haggard,1885,"Lost World, Speculative fiction, Adventure novel"
Babel-17,Samuel R. Delany,1966,"Science Fiction, Speculative fiction"
The Languages of Pao,Jack Vance,,"Science Fiction, Speculative fiction, Fiction"
The Count of Monte Cristo,Auguste Maquet,1844,"Romance novel, Fiction, Adventure novel, Historical novel"
Cat's Cradle,Kurt Vonnegut,1963,"Science Fiction, Satire, Speculative fiction"
Excellent Women,Barbara Pym,1952,"Fiction, Novel"
The Scarlet Pimpernel,Baroness Emma Orczy,1905,"Adventure novel, Historical novel"
Becket,Jean Anouilh,,
The Robe,Andrew Greeley,1942,"Speculative fiction, Fiction"
The Closing of the American Mind,Allan Bloom,1987,
Murder in the Cathedral,T. S. Eliot,,
The Legend of Sleepy Hollow,Washington Irving,1820,Speculative fiction
The Thirty-nine Steps,"John Buchan, 1st Baron Tweedsmuir",1915,"Thriller, Novel"
The Winter's Tale,William Shakespeare,1623,
Dead Air,Iain Banks,2002,"Fiction, Novel"
Nibelungenlied,,,"Autobiography, Biography, Poetry"
The Exorcist,William Peter Blatty,1971,"Science Fiction, Speculative fiction, Horror, Fiction"
The Sweet Hereafter,Russell Banks,,
A Severed Head,Iris Murdoch,1961,"Fiction, Novel"
Coming Up for Air,George Orwell,1939,Fiction
Shadow Puppets,Orson Scott Card,2002,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Road to Mars,Eric Idle,2000-10-10,"Science Fiction, Speculative fiction, Comedy, Fiction"
Regeneration,Pat Barker,1991-05-30,"War novel, Fiction"
House of Leaves,Mark Z. Danielewski,2000-03-07,"Horror, Speculative fiction, Ergodic literature, Romance novel"
The Whalestoe Letters,Mark Z. Danielewski,2000-10-10,"Epistolary novel, Speculative fiction, Novella"
Restoree,Anne McCaffrey,1967,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Mister Roberts,Thomas Heggen,1946,War novel
Cat on a Hot Tin Roof,Tennessee Williams,,
Elmer Gantry,Sinclair Lewis,1927-03,"Fiction, Novel"
Sons and Lovers,D. H. Lawrence,1913,"Autobiographical novel, Künstlerroman, Fiction"
Survivor,Chuck Palahniuk,1999-02,"Novel, Speculative fiction, Mystery, Satire"
The Jungle,"Upton Sinclair, Jr.",1906-02-28,"Politics, Fiction"
The Music Man,Meredith Willson,,
Level 7,Mordecai Roshwald,1959,"Science Fiction, Speculative fiction, Dystopia"
The Prince,Niccolò Machiavelli,1532,"Treatise, Non-fiction"
Sounder,William Armstrong,1969,Children's literature
Nemesis,Isaac Asimov,1989-10,"Science Fiction, Speculative fiction, Children's literature, Fiction"
Island of the Sequined Love Nun,Christopher Moore,1997,"Speculative fiction, Comedy, Romance novel"
The Lust Lizard of Melancholy Cove,Christopher Moore,1999,"Adventure, Adventure novel, Speculative fiction, Comic fantasy"
Lost Girls,Alan Moore,,
Quartet in Autumn,Barbara Pym,1977-09-01,"Fiction, Novel"
Some Tame Gazelle,Barbara Pym,,"Comedy, Fiction"
Satyricon,Petronius Arbiter,,"Novel, Satire, Historical fiction, Poetry"
"Guns, Germs, and Steel",Jared Diamond,,History
On Golden Pond,Ernest Thompson,1979,
